url,label
https://www.google.com/search?q=weather,0
https://www.microsoft.com/en-us/security,0
https://github.com/login,0
https://www.apple.com/shop,0
https://docs.python.org/3/library/urllib.parse.html,0
https://www.amazon.com/gp/help/customer/display.html,0
https://support.google.com/accounts,0
https://www.wikipedia.org/,0
http://free-microsoft-login-security-update.example.com/verify?user=test,1
http://192.168.1.44/login.php?session=abc123,1
ftp://malware-download.example.ru/payload.exe,1
http://safeappledownload.example.net/free/update.exe,1
http://paypal-account-verify-login.example.org/secure?token=abc,1
https://micros0ft-login.example.com/account/verify,1
http://joeselectrical.com/about/reports/December/login/index.php,1
https://freegift-login-confirm.example.biz/winner?email=test%40mail.com,1
http://bank-security-alert.example.info/update-password,1
ldap://strange-auth.example.xyz/query?user=admin,1
smtp://mail-reset-password.example.top/login,1
http://download-free-antivirus-now.example.click/install.exe,1
